match_id,season,round_number,total_score,temperature,match_title,home_away,behinds,goals,ratio,score,scorediff,team
CD_M20202640105,2020,1,49,26,Collingwood vs West Coast Eagles,home,8,5,0.625,38,27,Collingwood
CD_M20202640106,2020,1,53,26,St Kilda vs Western Bulldogs,away,3,6,2,39,25,Western Bulldogs
CD_M20202640106,2020,1,53,26,St Kilda vs Western Bulldogs,home,2,2,1,14,-25,St Kilda
CD_M20202640107,2020,1,72,18,Fremantle vs Geelong Cats,away,4,4,1,28,-16,Geelong Cats
CD_M20202640107,2020,1,72,18,Fremantle vs Geelong Cats,home,8,6,0.75,44,16,Fremantle
CD_M20202640201,2020,2,44,31,Western Bulldogs vs Melbourne,away,8,4,0.5,32,20,Melbourne
CD_M20202640201,2020,2,44,31,Western Bulldogs vs Melbourne,home,0,2,Inf,12,-20,Western Bulldogs
CD_M20202640202,2020,2,56,25,Kangaroos vs GWS Giants,away,7,2,0.285714285714286,19,-18,GWS Giants
CD_M20202640202,2020,2,56,25,Kangaroos vs GWS Giants,home,1,6,6,37,18,Kangaroos
CD_M20202640203,2020,2,55,18,Gold Coast Suns vs Richmond,away,10,2,0.2,22,-11,Richmond
CD_M20202640203,2020,2,55,18,Gold Coast Suns vs Richmond,home,3,5,1.66666666666667,33,11,Gold Coast Suns
CD_M20202640204,2020,2,75,18,West Coast Eagles vs Fremantle,away,6,9,1.5,60,45,Fremantle
CD_M20202640204,2020,2,75,18,West Coast Eagles vs Fremantle,home,3,2,0.666666666666667,15,-45,West Coast Eagles
CD_M20202640205,2020,2,59,23,Geelong Cats vs Brisbane Lions,away,3,6,2,39,19,Brisbane Lions
CD_M20202640205,2020,2,59,23,Geelong Cats vs Brisbane Lions,home,2,3,1.5,20,-19,Geelong Cats
CD_M20202640206,2020,2,63,25,Carlton vs Collingwood,away,3,6,2,39,15,Collingwood
CD_M20202640206,2020,2,63,25,Carlton vs Collingwood,home,6,3,0.5,24,-15,Carlton
CD_M20202640207,2020,2,67,18,Adelaide Crows vs St Kilda,away,3,4,1.33333333333333,27,-13,St Kilda
CD_M20202640207,2020,2,67,18,Adelaide Crows vs St Kilda,home,4,6,1.5,40,13,Adelaide Crows
CD_M20202640301,2020,3,33,20,St Kilda vs Melbourne,away,8,1,0.125,14,-5,Melbourne
CD_M20202640301,2020,3,33,20,St Kilda vs Melbourne,home,1,3,3,19,5,St Kilda
CD_M20202640302,2020,3,81,22,Western Bulldogs vs Carlton,away,3,8,2.66666666666667,51,21,Carlton
CD_M20202640302,2020,3,81,22,Western Bulldogs vs Carlton,home,6,4,0.666666666666667,30,-21,Western Bulldogs
CD_M20202640303,2020,3,56,18,Gold Coast Suns vs Brisbane Lions,away,4,4,1,28,0,Brisbane Lions
CD_M20202640303,2020,3,56,18,Gold Coast Suns vs Brisbane Lions,home,4,4,1,28,0,Gold Coast Suns
CD_M20202640304,2020,3,63,18,Fremantle vs Collingwood,away,6,4,0.666666666666667,30,-3,Collingwood
CD_M20202640304,2020,3,63,18,Fremantle vs Collingwood,home,3,5,1.66666666666667,33,3,Fremantle
CD_M20202640305,2020,3,56,26,GWS Giants vs West Coast Eagles,away,2,2,1,14,-28,West Coast Eagles
CD_M20202640305,2020,3,56,26,GWS Giants vs West Coast Eagles,home,6,6,1,42,28,GWS Giants
CD_M20202640306,2020,3,96,31,Richmond vs Kangaroos,away,4,12,3,76,56,Kangaroos
CD_M20202640306,2020,3,96,31,Richmond vs Kangaroos,home,8,2,0.25,20,-56,Richmond
CD_M20202640307,2020,3,87,30,Geelong Cats vs Adelaide Crows,away,1,8,8,49,11,Adelaide Crows
CD_M20202640307,2020,3,87,30,Geelong Cats vs Adelaide Crows,home,2,6,3,38,-11,Geelong Cats
CD_M20202640401,2020,4,72,19,Collingwood vs Melbourne,away,4,7,1.75,46,20,Melbourne
CD_M20202640401,2020,4,72,19,Collingwood vs Melbourne,home,2,4,2,26,-20,Collingwood
CD_M20202640402,2020,4,112,28,Richmond vs Geelong Cats,away,7,10,1.42857142857143,67,22,Geelong Cats
CD_M20202640402,2020,4,112,28,Richmond vs Geelong Cats,home,3,7,2.33333333333333,45,-22,Richmond
CD_M20202640403,2020,4,81,23,Kangaroos vs Gold Coast Suns,away,4,5,1.25,34,-13,Gold Coast Suns
CD_M20202640403,2020,4,81,23,Kangaroos vs Gold Coast Suns,home,11,6,0.545454545454545,47,13,Kangaroos
